Category,Rating Range,Number of Apps
ART_AND_DESIGN,4.5+,26
AUTO_AND_VEHICLES,4.5+,26
BEAUTY,4.5+,16
BOOKS_AND_REFERENCE,4.5+,91
BUSINESS,4.5+,86
COMICS,4.5+,21
COMMUNICATION,4.5+,51
DATING,4.5+,32
EDUCATION,4.5+,69
ENTERTAINMENT,4.5+,20
EVENTS,4.5+,24
FAMILY,4.5+,544
FINANCE,4.5+,105
FOOD_AND_DRINK,4.5+,41
GAME,4.5+,386
HEALTH_AND_FITNESS,4.5+,154
HOUSE_AND_HOME,4.5+,24
LIBRARIES_AND_DEMO,4.5+,14
LIFESTYLE,4.5+,108
MAPS_AND_NAVIGATION,4.5+,24
MEDICAL,4.5+,140
NEWS_AND_MAGAZINES,4.5+,67
PARENTING,4.5+,23
PERSONALIZATION,4.5+,124
PHOTOGRAPHY,4.5+,85
PRODUCTIVITY,4.5+,114
SHOPPING,4.5+,79
SOCIAL,4.5+,76
SPORTS,4.5+,93
TOOLS,4.5+,174
TRAVEL_AND_LOCAL,4.5+,45
VIDEO_PLAYERS,4.5+,36
WEATHER,4.5+,22
ART_AND_DESIGN,4.0~4.5,29
AUTO_AND_VEHICLES,4.0~4.5,29
BEAUTY,4.0~4.5,19
BOOKS_AND_REFERENCE,4.0~4.5,58
BUSINESS,4.0~4.5,136
COMICS,4.0~4.5,18
COMMUNICATION,4.0~4.5,216
DATING,4.0~4.5,92
EDUCATION,4.0~4.5,80
ENTERTAINMENT,4.0~4.5,87
EVENTS,4.0~4.5,18
FAMILY,4.0~4.5,781
FINANCE,4.0~4.5,141
FOOD_AND_DRINK,4.0~4.5,41
GAME,4.0~4.5,554
HEALTH_AND_FITNESS,4.0~4.5,96
HOUSE_AND_HOME,4.0~4.5,35
LIBRARIES_AND_DEMO,4.0~4.5,34
LIFESTYLE,4.0~4.5,103
MAPS_AND_NAVIGATION,4.0~4.5,60
MEDICAL,4.0~4.5,126
NEWS_AND_MAGAZINES,4.0~4.5,104
PARENTING,4.0~4.5,18
PERSONALIZATION,4.0~4.5,156
PHOTOGRAPHY,4.0~4.5,178
PRODUCTIVITY,4.0~4.5,177
SHOPPING,4.0~4.5,128
SOCIAL,4.0~4.5,148
SPORTS,4.0~4.5,172
TOOLS,4.0~4.5,325
TRAVEL_AND_LOCAL,4.0~4.5,120
VIDEO_PLAYERS,4.0~4.5,69
WEATHER,4.0~4.5,37
ART_AND_DESIGN,4.0-,7
AUTO_AND_VEHICLES,4.0-,18
BEAUTY,4.0-,7
BOOKS_AND_REFERENCE,4.0-,29
BUSINESS,4.0-,80
COMICS,4.0-,17
COMMUNICATION,4.0-,60
DATING,4.0-,69
EDUCATION,4.0-,6
ENTERTAINMENT,4.0-,41
EVENTS,4.0-,3
FAMILY,4.0-,406
FINANCE,4.0-,77
FOOD_AND_DRINK,4.0-,27
GAME,4.0-,148
HEALTH_AND_FITNESS,4.0-,45
HOUSE_AND_HOME,4.0-,17
LIBRARIES_AND_DEMO,4.0-,16
LIFESTYLE,4.0-,100
MAPS_AND_NAVIGATION,4.0-,40
MEDICAL,4.0-,84
NEWS_AND_MAGAZINES,4.0-,59
PARENTING,4.0-,8
PERSONALIZATION,4.0-,32
PHOTOGRAPHY,4.0-,53
PRODUCTIVITY,4.0-,60
SHOPPING,4.0-,31
SOCIAL,4.0-,35
SPORTS,4.0-,54
TOOLS,4.0-,228
TRAVEL_AND_LOCAL,4.0-,60
VIDEO_PLAYERS,4.0-,55
WEATHER,4.0-,16
